hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty,cnt
21,0,1,0.82,0.52,0.1343,13409,7,1,1,0,0,333
22,0,1,0.8,0.55,0.2239,13410,7,1,1,0,0,244
23,0,1,0.78,0.59,0.1939999999999999,13411,7,1,1,0,0,161
0,0,1,0.76,0.66,0.1642,13412,7,1,1,0,0,53
1,0,1,0.76,0.66,0.1045,13413,7,1,1,0,0,16
2,0,1,0.74,0.66,0.1343,13414,7,1,1,0,0,8
3,0,1,0.74,0.66,0.1343,13415,7,1,1,0,0,4
4,0,1,0.72,0.7,0.1343,13416,7,1,1,0,0,6
5,0,1,0.72,0.7,0.1642,13417,7,1,1,0,0,46
6,0,1,0.72,0.7,0.1642,13418,7,1,1,0,0,162
7,0,1,0.74,0.66,0.1642,13419,7,1,1,0,0,495
8,0,1,0.78,0.62,0.1045,13420,7,1,1,0,0,679
9,0,1,0.82,0.56,0.0,13421,7,1,1,0,0,297
10,0,1,0.9,0.42,0.1939999999999999,13422,7,1,1,0,0,138
11,0,1,0.9,0.42,0.0,13423,7,1,1,0,0,183
12,0,1,0.92,0.37,0.1343,13424,7,1,1,0,0,202
13,0,1,0.94,0.33,0.0,13425,7,1,1,0,0,203
14,0,1,0.94,0.38,0.3284,13426,7,1,1,0,0,170
15,0,1,0.92,0.35,0.3582,13427,7,1,0,1,0,194
16,0,1,0.74,0.66,0.2537,13428,7,1,1,0,0,224
17,0,1,0.74,0.7,0.2537,13429,7,1,1,0,0,370
18,0,1,0.76,0.62,0.1343,13430,7,1,0,0,1,643
19,0,1,0.76,0.62,0.1045,13431,7,1,0,0,1,516
20,0,1,0.74,0.62,0.0896,13432,7,1,1,0,0,366
21,0,1,0.76,0.62,0.0,13433,7,1,1,0,0,319
22,0,1,0.76,0.58,0.0896,13434,7,1,1,0,0,288
23,0,1,0.76,0.58,0.0896,13435,7,1,1,0,0,131
0,0,1,0.74,0.66,0.0896,13436,7,1,1,0,0,66
1,0,1,0.74,0.66,0.0896,13437,7,1,1,0,0,25
2,0,1,0.72,0.7,0.1939999999999999,13438,7,1,1,0,0,7
3,0,1,0.72,0.7,0.1045,13439,7,1,1,0,0,5
4,0,1,0.72,0.7,0.1045,13440,7,1,1,0,0,8
5,0,1,0.72,0.7,0.1045,13441,7,1,0,0,1,40
6,0,1,0.72,0.66,0.1343,13442,7,1,1,0,0,152
7,0,1,0.74,0.58,0.2836,13443,7,1,1,0,0,473
8,0,1,0.76,0.58,0.2537,13444,7,1,1,0,0,657
9,0,1,0.76,0.58,0.2836,13445,7,1,0,0,1,318
10,0,1,0.76,0.58,0.1939999999999999,13446,7,1,1,0,0,198
11,0,1,0.8,0.55,0.1045,13447,7,1,1,0,0,216
12,0,1,0.84,0.49,0.2836,13448,7,1,1,0,0,274
13,0,1,0.84,0.47,0.1343,13449,7,1,1,0,0,254
14,0,1,0.86,0.44,0.0896,13450,7,1,1,0,0,197
15,0,1,0.84,0.47,0.0896,13451,7,1,1,0,0,292
16,0,1,0.84,0.47,0.0896,13452,7,1,1,0,0,358
17,0,1,0.86,0.41,0.0,13453,7,1,1,0,0,771
18,0,1,0.86,0.41,0.1939999999999999,13454,7,1,1,0,0,777
19,0,1,0.84,0.44,0.2537,13455,7,1,1,0,0,533
20,0,1,0.82,0.49,0.1642,13456,7,1,1,0,0,505
21,0,1,0.66,0.89,0.2537,13457,7,1,0,1,0,332
22,0,1,0.66,0.89,0.2537,13458,7,1,0,1,0,68
23,0,1,0.66,0.89,0.2239,13459,7,1,0,1,0,65
0,0,1,0.66,0.89,0.0896,13460,7,1,0,1,0,34
1,0,1,0.66,0.89,0.1343,13461,7,1,1,0,0,11
2,0,1,0.66,0.89,0.0896,13462,7,1,0,0,1,19
3,0,1,0.66,0.89,0.1045,13463,7,1,0,0,1,36
4,0,1,0.66,0.89,0.1642,13464,7,1,0,0,1,9
5,0,1,0.66,0.89,0.1343,13465,7,1,0,0,1,42
6,0,1,0.66,0.89,0.1642,13466,7,1,0,0,1,126
7,0,1,0.66,0.89,0.1939999999999999,13467,7,1,0,0,1,360
8,0,1,0.68,0.83,0.1642,13468,7,1,0,0,1,691
9,0,1,0.7,0.79,0.1343,13469,7,1,0,0,1,373
10,0,1,0.7,0.79,0.1642,13470,7,1,0,0,1,233
11,0,1,0.72,0.74,0.1939999999999999,13471,7,1,0,1,0,212
12,0,1,0.68,0.83,0.1642,13472,7,1,0,1,0,274
13,0,1,0.68,0.83,0.1045,13473,7,1,0,1,0,156
14,0,1,0.7,0.84,0.1642,13474,7,1,0,1,0,229
15,0,1,0.7,0.84,0.2985,13475,7,1,0,0,1,216
16,0,1,0.68,0.83,0.3284,13476,7,1,0,0,1,436
17,0,1,0.66,0.89,0.4179,13477,7,1,0,0,1,715
18,0,1,0.66,0.78,0.3284,13478,7,1,0,0,1,622
19,0,1,0.64,0.83,0.2836,13479,7,1,0,0,1,402
20,0,1,0.64,0.83,0.3881,13480,7,1,0,1,0,251
21,0,1,0.62,0.83,0.3284,13481,7,1,0,1,0,122
22,0,1,0.62,0.83,0.1939999999999999,13482,7,1,0,0,1,135
23,0,1,0.62,0.83,0.2836,13483,7,1,0,0,1,166
0,0,0,0.62,0.83,0.2836,13484,7,1,0,1,0,103
1,0,0,0.62,0.83,0.2537,13485,7,1,0,0,1,72
2,0,0,0.6,0.88,0.2836,13486,7,1,0,1,0,60
3,0,0,0.6,0.88,0.2537,13487,7,1,0,1,0,25
4,0,0,0.58,0.88,0.2836,13488,7,1,0,1,0,16
5,0,0,0.58,0.88,0.2537,13489,7,1,0,1,0,17
6,0,0,0.58,0.88,0.2537,13490,7,1,0,1,0,15
7,0,0,0.58,0.88,0.2537,13491,7,1,0,0,1,37
8,0,0,0.58,0.83,0.2537,13492,7,1,0,0,1,112
9,0,0,0.58,0.83,0.1939999999999999,13493,7,1,0,0,1,207
10,0,0,0.58,0.88,0.2537,13494,7,1,0,1,0,268
11,0,0,0.6,0.83,0.2537,13495,7,1,0,0,1,305
12,0,0,0.6,0.83,0.2239,13496,7,1,0,1,0,457
13,0,0,0.6,0.83,0.1642,13497,7,1,0,1,0,354
14,0,0,0.6,0.88,0.2537,13498,7,1,0,0,1,343
15,0,0,0.6,0.88,0.2537,13499,7,1,0,1,0,380
16,0,0,0.6,0.88,0.1939999999999999,13500,7,1,0,1,0,326
17,0,0,0.6,0.88,0.1642,13501,7,1,0,1,0,241
18,0,0,0.6,0.88,0.1939999999999999,13502,7,1,0,0,1,177
19,0,0,0.6,0.88,0.1642,13503,7,1,0,0,1,238
20,0,0,0.6,0.88,0.1642,13504,7,1,0,1,0,214
21,0,0,0.6,0.88,0.1642,13505,7,1,0,0,1,163
22,0,0,0.6,0.88,0.1045,13506,7,1,0,0,1,180
23,0,0,0.6,0.88,0.0,13507,7,1,0,0,1,149
0,0,0,0.6,0.88,0.1045,13508,7,1,0,0,1,113
1,0,0,0.6,0.88,0.1642,13509,7,1,0,0,1,130
2,0,0,0.6,0.88,0.1045,13510,7,1,0,0,1,122
3,0,0,0.6,0.88,0.1045,13511,7,1,0,0,1,43
4,0,0,0.6,0.88,0.0,13512,7,1,1,0,0,16
5,0,0,0.6,0.88,0.0,13513,7,1,1,0,0,6
6,0,0,0.62,0.83,0.0896,13514,7,1,0,0,1,19
7,0,0,0.62,0.83,0.0,13515,7,1,0,0,1,38
8,0,0,0.64,0.78,0.0,13516,7,1,0,0,1,153
9,0,0,0.66,0.69,0.0,13517,7,1,0,0,1,258
10,0,0,0.66,0.74,0.0,13518,7,1,0,0,1,379
11,0,0,0.66,0.74,0.0,13519,7,1,0,0,1,505
12,0,0,0.7,0.7,0.1045,13520,7,1,0,0,1,504
13,0,0,0.7,0.65,0.0896,13521,7,1,0,0,1,626
14,0,0,0.72,0.66,0.1045,13522,7,1,1,0,0,616
15,0,0,0.72,0.66,0.1045,13523,7,1,1,0,0,624
16,0,0,0.74,0.66,0.1045,13524,7,1,1,0,0,628
17,0,0,0.74,0.66,0.2239,13525,7,1,1,0,0,556
18,0,0,0.74,0.66,0.1642,13526,7,1,1,0,0,515
19,0,0,0.72,0.7,0.1642,13527,7,1,1,0,0,522
20,0,0,0.7,0.74,0.1642,13528,7,1,1,0,0,378
21,0,0,0.7,0.79,0.1045,13529,7,1,1,0,0,345
22,0,0,0.7,0.74,0.1939999999999999,13530,7,1,1,0,0,191
23,0,0,0.68,0.79,0.1642,13531,7,1,1,0,0,123
0,0,1,0.66,0.89,0.0896,13532,7,1,1,0,0,47
1,0,1,0.66,0.89,0.1939999999999999,13533,7,1,1,0,0,27
2,0,1,0.66,0.94,0.0896,13534,7,1,0,0,1,17
3,0,1,0.66,0.94,0.0896,13535,7,1,0,0,1,2
4,0,1,0.66,0.94,0.1343,13536,7,1,0,0,1,8
5,0,1,0.66,0.94,0.1343,13537,7,1,0,0,1,51
6,0,1,0.68,0.89,0.0896,13538,7,1,0,0,1,157
7,0,1,0.7,0.84,0.1343,13539,7,1,1,0,0,421
8,0,1,0.72,0.79,0.1045,13540,7,1,1,0,0,738
9,0,1,0.74,0.74,0.1343,13541,7,1,0,0,1,345
10,0,1,0.78,0.62,0.0,13542,7,1,0,0,1,200
11,0,1,0.8,0.52,0.1642,13543,7,1,0,0,1,198
12,0,1,0.8,0.52,0.1642,13544,7,1,0,0,1,314
13,0,1,0.8,0.52,0.1045,13545,7,1,0,0,1,240
14,0,1,0.78,0.59,0.1642,13546,7,1,0,0,1,271
15,0,1,0.8,0.55,0.1939999999999999,13547,7,1,1,0,0,281
16,0,1,0.82,0.52,0.1343,13548,7,1,1,0,0,457
17,0,1,0.82,0.52,0.1343,13549,7,1,1,0,0,847
18,0,1,0.82,0.46,0.1045,13550,7,1,1,0,0,741
19,0,1,0.8,0.52,0.2537,13551,7,1,1,0,0,582
20,0,1,0.76,0.62,0.1642,13552,7,1,1,0,0,403
21,0,1,0.76,0.62,0.1939999999999999,13553,7,1,1,0,0,296
22,0,1,0.74,0.62,0.1939999999999999,13554,7,1,1,0,0,209
23,0,1,0.72,0.66,0.1642,13555,7,1,1,0,0,114
0,0,1,0.7,0.74,0.1343,13556,7,1,1,0,0,64
1,0,1,0.68,0.79,0.1642,13557,7,1,1,0,0,17
2,0,1,0.66,0.83,0.1642,13558,7,1,1,0,0,16
3,0,1,0.66,0.83,0.1642,13559,7,1,1,0,0,6
4,0,1,0.66,0.83,0.0896,13560,7,1,1,0,0,6
5,0,1,0.66,0.83,0.1045,13561,7,1,1,0,0,50
6,0,1,0.66,0.83,0.1343,13562,7,1,1,0,0,190
7,0,1,0.7,0.74,0.1642,13563,7,1,1,0,0,516
8,0,1,0.74,0.7,0.1939999999999999,13564,7,1,1,0,0,743
9,0,1,0.84,0.53,0.0,13565,7,1,1,0,0,339
10,0,1,0.82,0.56,0.2985,13566,7,1,1,0,0,218
11,0,1,0.84,0.53,0.3284,13567,7,1,0,0,1,201
12,0,1,0.82,0.56,0.2239,13568,7,1,0,0,1,229
13,0,1,0.84,0.53,0.2985,13569,7,1,0,0,1,273
14,0,1,0.84,0.53,0.2239,13570,7,1,0,0,1,244
15,0,1,0.82,0.49,0.2985,13571,7,1,1,0,0,285
16,0,1,0.8,0.55,0.2985,13572,7,1,1,0,0,455
17,0,1,0.8,0.52,0.3284,13573,7,1,1,0,0,869
18,0,1,0.76,0.62,0.3284,13574,7,1,1,0,0,877
19,0,1,0.76,0.62,0.1642,13575,7,1,1,0,0,632
20,0,1,0.74,0.66,0.1642,13576,7,1,1,0,0,523
21,0,1,0.74,0.66,0.2239,13577,7,1,1,0,0,378
22,0,1,0.74,0.66,0.2537,13578,7,1,1,0,0,269
23,0,1,0.74,0.58,0.3284,13579,7,1,1,0,0,192
0,0,1,0.72,0.58,0.2985,13580,7,1,1,0,0,66
1,0,1,0.7,0.58,0.1939999999999999,13581,7,1,1,0,0,28
2,0,1,0.68,0.61,0.2239,13582,7,1,1,0,0,12
3,0,1,0.66,0.65,0.2239,13583,7,1,1,0,0,12
4,0,1,0.64,0.65,0.2239,13584,7,1,1,0,0,4
5,0,1,0.64,0.65,0.1642,13585,7,1,1,0,0,59
6,0,1,0.64,0.65,0.1939999999999999,13586,7,1,1,0,0,190
7,0,1,0.66,0.5,0.3284,13587,7,1,1,0,0,507
8,0,1,0.7,0.42,0.2537,13588,7,1,1,0,0,788
9,0,1,0.72,0.37,0.2985,13589,7,1,1,0,0,342
10,0,1,0.74,0.37,0.0,13590,7,1,1,0,0,231
11,0,1,0.76,0.33,0.0,13591,7,1,1,0,0,281
12,0,1,0.76,0.33,0.0,13592,7,1,1,0,0,310
13,0,1,0.78,0.31,0.1642,13593,7,1,1,0,0,312
14,0,1,0.8,0.29,0.1343,13594,7,1,1,0,0,247
15,0,1,0.78,0.31,0.0896,13595,7,1,1,0,0,317
16,0,1,0.8,0.29,0.1642,13596,7,1,1,0,0,484
17,0,1,0.8,0.31,0.0,13597,7,1,1,0,0,913
18,0,1,0.8,0.27,0.1343,13598,7,1,1,0,0,891
19,0,1,0.76,0.33,0.1343,13599,7,1,1,0,0,698
20,0,1,0.74,0.4,0.1642,13600,7,1,1,0,0,567
21,0,1,0.72,0.45,0.1343,13601,7,1,1,0,0,397
22,0,1,0.7,0.58,0.1343,13602,7,1,1,0,0,278
23,0,1,0.68,0.57,0.2985,13603,7,1,1,0,0,239
0,0,1,0.66,0.65,0.1939999999999999,13604,7,1,1,0,0,92
1,0,1,0.66,0.65,0.2239,13605,7,1,1,0,0,29
2,0,1,0.66,0.69,0.2537,13606,7,1,1,0,0,21
3,0,1,0.66,0.69,0.2239,13607,7,1,1,0,0,8
4,0,1,0.66,0.74,0.1939999999999999,13608,7,1,1,0,0,4
5,0,1,0.66,0.74,0.1939999999999999,13609,7,1,1,0,0,42
6,0,1,0.66,0.78,0.2537,13610,7,1,1,0,0,181
7,0,1,0.7,0.74,0.2537,13611,7,1,1,0,0,495
8,0,1,0.7,0.74,0.2537,13612,7,1,0,0,1,729
9,0,1,0.72,0.7,0.1343,13613,7,1,0,0,1,344
10,0,1,0.74,0.7,0.2239,13614,7,1,1,0,0,222
11,0,1,0.8,0.66,0.2239,13615,7,1,1,0,0,212
12,0,1,0.84,0.56,0.2537,13616,7,1,1,0,0,279
13,0,1,0.86,0.53,0.2985,13617,7,1,1,0,0,242
14,0,1,0.9,0.47,0.2537,13618,7,1,1,0,0,213
15,0,1,0.92,0.42,0.2985,13619,7,1,1,0,0,238
16,0,1,0.94,0.38,0.3881,13620,7,1,1,0,0,374
17,0,1,0.9,0.45,0.4179,13621,7,1,1,0,0,738
18,0,1,0.92,0.4,0.3582,13622,7,1,1,0,0,688
19,0,1,0.9,0.45,0.3284,13623,7,1,1,0,0,614
20,0,1,0.86,0.5,0.2537,13624,7,1,1,0,0,446
21,0,1,0.8,0.49,0.6119,13625,7,1,1,0,0,271
22,0,1,0.8,0.49,0.6119,13626,7,1,1,0,0,234
23,0,1,0.72,0.7,0.1343,13627,7,1,1,0,0,145
0,0,1,0.72,0.7,0.0,13628,7,1,1,0,0,97
1,0,1,0.72,0.7,0.1045,13629,7,1,1,0,0,54
2,0,1,0.7,0.79,0.1343,13630,7,1,1,0,0,26
3,0,1,0.7,0.74,0.1642,13631,7,1,1,0,0,12
4,0,1,0.7,0.79,0.0,13632,7,1,1,0,0,8
5,0,1,0.7,0.84,0.0,13633,7,1,1,0,0,37
6,0,1,0.7,0.79,0.0,13634,7,1,1,0,0,139
7,0,1,0.72,0.7,0.1939999999999999,13635,7,1,1,0,0,410
8,0,1,0.76,0.66,0.0896,13636,7,1,1,0,0,676
9,0,1,0.82,0.49,0.2836,13637,7,1,1,0,0,363
10,0,1,0.84,0.47,0.0,13638,7,1,1,0,0,231
11,0,1,0.84,0.47,0.3284,13639,7,1,1,0,0,251
12,0,1,0.84,0.49,0.3582,13640,7,1,1,0,0,299
13,0,1,0.84,0.47,0.2836,13641,7,1,1,0,0,314
14,0,1,0.86,0.47,0.2985,13642,7,1,1,0,0,326
15,0,1,0.86,0.41,0.2239,13643,7,1,1,0,0,323
16,0,1,0.84,0.47,0.2239,13644,7,1,1,0,0,499
17,0,1,0.86,0.41,0.2836,13645,7,1,1,0,0,699
18,0,1,0.82,0.46,0.1642,13646,7,1,1,0,0,622
19,0,1,0.82,0.52,0.1939999999999999,13647,7,1,1,0,0,516
20,0,1,0.78,0.59,0.1045,13648,7,1,1,0,0,354
21,0,1,0.78,0.59,0.1045,13649,7,1,1,0,0,260
22,0,1,0.78,0.59,0.1343,13650,7,1,1,0,0,199
23,0,1,0.76,0.66,0.0,13651,7,1,1,0,0,189
0,0,0,0.74,0.62,0.1343,13652,7,1,1,0,0,191
1,0,0,0.72,0.7,0.0896,13653,7,1,1,0,0,80
2,0,0,0.72,0.7,0.0,13654,7,1,1,0,0,90
3,0,0,0.72,0.7,0.0,13655,7,1,1,0,0,43
4,0,0,0.7,0.79,0.1939999999999999,13656,7,1,1,0,0,11
5,0,0,0.68,0.79,0.1642,13657,7,1,1,0,0,14
6,0,0,0.7,0.7,0.1045,13658,7,1,1,0,0,50
7,0,0,0.72,0.7,0.1343,13659,7,1,1,0,0,76
8,0,0,0.74,0.66,0.1642,13660,7,1,1,0,0,163
9,0,0,0.78,0.59,0.1045,13661,7,1,1,0,0,337
10,0,0,0.82,0.52,0.2239,13662,7,1,1,0,0,395
11,0,0,0.84,0.39,0.2239,13663,7,1,1,0,0,457
12,0,0,0.84,0.41,0.2239,13664,7,1,1,0,0,487
13,0,0,0.86,0.41,0.2836,13665,7,1,1,0,0,498
14,0,0,0.86,0.39,0.2537,13666,7,1,1,0,0,494
15,0,0,0.88,0.32,0.2836,13667,7,1,1,0,0,497
16,0,0,0.86,0.39,0.2239,13668,7,1,1,0,0,487
17,0,0,0.82,0.46,0.1939999999999999,13669,7,1,1,0,0,479
18,0,0,0.82,0.43,0.2836,13670,7,1,1,0,0,481
19,0,0,0.68,0.83,0.0,13671,7,1,1,0,0,338
20,0,0,0.66,0.83,0.2239,13672,7,1,1,0,0,233
21,0,0,0.66,0.78,0.0896,13673,7,1,1,0,0,300
22,0,0,0.66,0.78,0.0896,13674,7,1,1,0,0,276
23,0,0,0.66,0.83,0.0896,13675,7,1,1,0,0,208
0,0,0,0.66,0.89,0.1343,13676,7,1,1,0,0,188
1,0,0,0.66,0.83,0.1045,13677,7,1,1,0,0,158
2,0,0,0.66,0.74,0.1343,13678,7,1,1,0,0,112
3,0,0,0.66,0.69,0.2239,13679,7,1,1,0,0,55
4,0,0,0.64,0.69,0.1939999999999999,13680,7,1,1,0,0,13
5,0,0,0.62,0.78,0.1939999999999999,13681,7,1,1,0,0,17
6,0,0,0.64,0.73,0.1642,13682,7,1,1,0,0,18
7,0,0,0.66,0.69,0.2537,13683,7,1,1,0,0,40
8,0,0,0.7,0.65,0.2239,13684,7,1,1,0,0,127
9,0,0,0.72,0.62,0.2537,13685,7,1,1,0,0,226
10,0,0,0.74,0.62,0.0,13686,7,1,1,0,0,381
11,0,0,0.76,0.55,0.2239,13687,7,1,1,0,0,509
12,0,0,0.76,0.55,0.3284,13688,7,1,1,0,0,511
13,0,0,0.8,0.49,0.2239,13689,7,1,1,0,0,483
14,0,0,0.8,0.46,0.1939999999999999,13690,7,1,1,0,0,522
15,0,0,0.8,0.43,0.1343,13691,7,1,1,0,0,501
16,0,0,0.8,0.43,0.1343,13692,7,1,1,0,0,521
17,0,0,0.82,0.41,0.1642,13693,7,1,1,0,0,531
18,0,0,0.8,0.41,0.2985,13694,7,1,1,0,0,419
19,0,0,0.76,0.55,0.1642,13695,7,1,1,0,0,443
20,0,0,0.74,0.66,0.1045,13696,7,1,1,0,0,303
21,0,0,0.72,0.7,0.1343,13697,7,1,1,0,0,271
22,0,0,0.7,0.7,0.1045,13698,7,1,1,0,0,148
23,0,0,0.7,0.7,0.0,13699,7,1,1,0,0,100
0,0,1,0.7,0.74,0.0896,13700,7,1,1,0,0,58
1,0,1,0.7,0.74,0.0,13701,7,1,1,0,0,19
2,0,1,0.68,0.74,0.0,13702,7,1,1,0,0,8
3,0,1,0.66,0.83,0.0,13703,7,1,1,0,0,3
4,0,1,0.66,0.83,0.0,13704,7,1,1,0,0,5
5,0,1,0.66,0.83,0.1045,13705,7,1,1,0,0,47
6,0,1,0.66,0.83,0.1642,13706,7,1,1,0,0,161
7,0,1,0.7,0.79,0.0896,13707,7,1,1,0,0,469
8,0,1,0.72,0.74,0.1045,13708,7,1,0,0,1,751
9,0,1,0.74,0.7,0.0,13709,7,1,0,0,1,293
10,0,1,0.74,0.66,0.2239,13710,7,1,0,0,1,189
11,0,1,0.78,0.55,0.1343,13711,7,1,0,0,1,215
12,0,1,0.76,0.58,0.1045,13712,7,1,0,0,1,278
13,0,1,0.8,0.49,0.1642,13713,7,1,1,0,0,226
14,0,1,0.8,0.49,0.2239,13714,7,1,1,0,0,254
15,0,1,0.8,0.49,0.2537,13715,7,1,1,0,0,236
16,0,1,0.8,0.49,0.2836,13716,7,1,1,0,0,425
17,0,1,0.76,0.55,0.3284,13717,7,1,1,0,0,827
18,0,1,0.76,0.58,0.4179,13718,7,1,1,0,0,812
19,0,1,0.82,0.52,0.1642,13719,7,1,1,0,0,665
20,0,1,0.72,0.7,0.2239,13720,7,1,1,0,0,462
21,0,1,0.72,0.7,0.1939999999999999,13721,7,1,1,0,0,322
22,0,1,0.7,0.74,0.2239,13722,7,1,0,0,1,230
23,0,1,0.7,0.74,0.1939999999999999,13723,7,1,1,0,0,150
0,0,1,0.68,0.79,0.1343,13724,7,1,1,0,0,38
1,0,1,0.66,0.83,0.1343,13725,7,1,1,0,0,21
2,0,1,0.66,0.83,0.1343,13726,7,1,1,0,0,8
3,0,1,0.66,0.83,0.0896,13727,7,1,1,0,0,6
4,0,1,0.66,0.83,0.0896,13728,7,1,1,0,0,6
5,0,1,0.66,0.83,0.1642,13729,7,1,1,0,0,45
6,0,1,0.64,0.89,0.1642,13730,7,1,1,0,0,194
7,0,1,0.68,0.83,0.2239,13731,7,1,1,0,0,513
8,0,1,0.7,0.79,0.1343,13732,7,1,1,0,0,760
9,0,1,0.72,0.7,0.1045,13733,7,1,1,0,0,333
10,0,1,0.72,0.66,0.0,13734,7,1,1,0,0,227
11,0,1,0.76,0.58,0.0,13735,7,1,1,0,0,224
12,0,1,0.8,0.46,0.0,13736,7,1,1,0,0,248
13,0,1,0.8,0.55,0.2836,13737,7,1,1,0,0,288
14,0,1,0.8,0.55,0.2836,13738,7,1,1,0,0,260
15,0,1,0.76,0.62,0.1343,13739,7,1,1,0,0,144
16,0,1,0.76,0.58,0.2239,13740,7,1,1,0,0,402
17,0,1,0.78,0.52,0.2239,13741,7,1,1,0,0,820
18,0,1,0.76,0.55,0.2836,13742,7,1,1,0,0,857
19,0,1,0.74,0.62,0.3582,13743,7,1,0,1,0,614
20,0,1,0.7,0.7,0.1939999999999999,13744,7,1,0,1,0,452
21,0,1,0.68,0.79,0.1939999999999999,13745,7,1,1,0,0,352
22,0,1,0.68,0.74,0.2537,13746,7,1,1,0,0,257
23,0,1,0.66,0.83,0.1642,13747,7,1,0,0,1,147
0,0,1,0.68,0.79,0.1642,13748,8,1,1,0,0,47
1,0,1,0.66,0.83,0.0896,13749,8,1,1,0,0,33
2,0,1,0.64,0.83,0.1045,13750,8,1,1,0,0,13
3,0,1,0.64,0.83,0.1045,13751,8,1,1,0,0,7
4,0,1,0.64,0.78,0.1343,13752,8,1,0,0,1,4
5,0,1,0.64,0.78,0.1343,13753,8,1,0,0,1,49
6,0,1,0.64,0.78,0.1343,13754,8,1,1,0,0,185
7,0,1,0.64,0.83,0.1343,13755,8,1,0,0,1,487
8,0,1,0.66,0.78,0.1939999999999999,13756,8,1,0,0,1,681
9,0,1,0.68,0.74,0.0896,13757,8,1,0,0,1,350
10,0,1,0.72,0.66,0.0896,13758,8,1,1,0,0,236
11,0,1,0.76,0.58,0.0896,13759,8,1,1,0,0,234
12,0,1,0.8,0.49,0.1045,13760,8,1,1,0,0,284
13,0,1,0.8,0.52,0.1642,13761,8,1,1,0,0,280
14,0,1,0.82,0.46,0.1642,13762,8,1,1,0,0,263
15,0,1,0.82,0.46,0.1642,13763,8,1,1,0,0,295
16,0,1,0.8,0.55,0.2836,13764,8,1,1,0,0,479
17,0,1,0.8,0.49,0.1642,13765,8,1,1,0,0,837
18,0,1,0.76,0.62,0.2239,13766,8,1,0,1,0,891
19,0,1,0.74,0.66,0.2537,13767,8,1,1,0,0,652
20,0,1,0.74,0.66,0.1642,13768,8,1,1,0,0,513
21,0,1,0.72,0.7,0.1343,13769,8,1,1,0,0,320
22,0,1,0.72,0.7,0.1045,13770,8,1,1,0,0,288
23,0,1,0.7,0.74,0.0,13771,8,1,1,0,0,152
0,0,1,0.7,0.74,0.0,13772,8,1,1,0,0,63
1,0,1,0.68,0.79,0.1045,13773,8,1,1,0,0,42
2,0,1,0.66,0.83,0.0896,13774,8,1,1,0,0,11
3,0,1,0.66,0.83,0.0,13775,8,1,1,0,0,6
4,0,1,0.66,0.83,0.0,13776,8,1,1,0,0,9
5,0,1,0.66,0.89,0.1343,13777,8,1,1,0,0,41
6,0,1,0.66,0.83,0.0,13778,8,1,1,0,0,183
7,0,1,0.7,0.79,0.0,13779,8,1,1,0,0,473
8,0,1,0.72,0.74,0.1045,13780,8,1,1,0,0,739
9,0,1,0.76,0.66,0.1045,13781,8,1,1,0,0,343
10,0,1,0.8,0.55,0.0,13782,8,1,1,0,0,181
11,0,1,0.82,0.52,0.1045,13783,8,1,1,0,0,226
12,0,1,0.84,0.44,0.1343,13784,8,1,1,0,0,286
13,0,1,0.86,0.44,0.2239,13785,8,1,1,0,0,310
14,0,1,0.86,0.41,0.1343,13786,8,1,1,0,0,225
15,0,1,0.78,0.62,0.4627,13787,8,1,1,0,0,270
16,0,1,0.82,0.46,0.1939999999999999,13788,8,1,1,0,0,406
17,0,1,0.82,0.52,0.2537,13789,8,1,1,0,0,865
18,0,1,0.8,0.59,0.2239,13790,8,1,1,0,0,767
19,0,1,0.8,0.63,0.1642,13791,8,1,1,0,0,607
20,0,1,0.78,0.66,0.0,13792,8,1,1,0,0,427
21,0,1,0.76,0.66,0.2239,13793,8,1,1,0,0,342
22,0,1,0.74,0.7,0.1939999999999999,13794,8,1,1,0,0,262
23,0,1,0.72,0.7,0.2537,13795,8,1,1,0,0,177
0,0,1,0.72,0.7,0.1939999999999999,13796,8,1,1,0,0,71
1,0,1,0.7,0.74,0.1939999999999999,13797,8,1,1,0,0,43
2,0,1,0.68,0.79,0.2239,13798,8,1,1,0,0,14
3,0,1,0.68,0.79,0.2239,13799,8,1,1,0,0,6
4,0,1,0.66,0.83,0.2537,13800,8,1,1,0,0,12
5,0,1,0.66,0.83,0.1642,13801,8,1,1,0,0,37
6,0,1,0.66,0.83,0.2239,13802,8,1,1,0,0,163
7,0,1,0.7,0.74,0.1045,13803,8,1,1,0,0,421
8,0,1,0.72,0.7,0.1343,13804,8,1,1,0,0,668
9,0,1,0.74,0.66,0.1045,13805,8,1,0,0,1,396
10,0,1,0.8,0.52,0.1939999999999999,13806,8,1,0,0,1,249
11,0,1,0.84,0.49,0.2836,13807,8,1,0,0,1,263
12,0,1,0.86,0.5,0.2985,13808,8,1,0,0,1,338
13,0,1,0.86,0.47,0.2836,13809,8,1,0,0,1,345
14,0,1,0.86,0.44,0.2537,13810,8,1,0,0,1,331
15,0,1,0.88,0.42,0.2537,13811,8,1,1,0,0,380
16,0,1,0.86,0.41,0.2239,13812,8,1,0,0,1,492
17,0,1,0.84,0.53,0.2836,13813,8,1,0,0,1,741
18,0,1,0.82,0.59,0.2537,13814,8,1,0,0,1,671
